t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3
0.0,293,72.2997,6.0755,-0.6835,299,58.3988,8.2339,0.0696,311,46.4916,7.6567,-0.2976,329,22.7237,5.5654,0.6673,348,11.6404,4.6912,0.4048,343,0.0,3.9533,0.885,0.6673,0.6673,5.63213,23.286913000000002,0.4048,4.6912,12.10952,0.4048,4.6912,12.10952
0.1,293,72.9038,6.0063,-0.704,299,59.2226,8.2417,0.0656,311,47.2558,7.6267,-0.1938,329,23.2836,5.6324,0.6982,348,12.1116,4.7324,0.4488,343,0.3997,4.0413,0.9525,1.516881828752526,0.6982,5.70195,23.857108,-0.17107430374066,4.73168,12.582688,0.5182168183102749,4.73168,12.582688
0.2,293,73.5009,5.9344,-0.7382,299,60.0472,8.2493,0.0641,311,48.0175,7.6086,-0.1026,329,23.8503,5.7012,0.6505,348,12.5872,4.7796,0.5246,343,0.8086,4.1365,1.034,1.5073819977928162,0.6505,5.767,24.433808000000003,-0.0625745101827548,4.7145725696259335,13.054145256962594,0.5396857739737431,4.783501681831027,13.061038168183103
0.3,293,74.0906,5.8605,-0.7444,299,60.8724,8.256,0.0496,311,48.778,7.6003,-0.0578,329,24.4238,5.7687,0.6203,348,13.0679,4.8353,0.6191,343,1.2275,4.2403,1.1309,1.498198089884063,0.6203,5.82903,25.016711,-0.0027429531826508,4.708315118607658,13.52497676882336,0.5377504057662673,4.837470259228402,13.544785194105943
0.4,293,74.6731,5.7885,-0.6557,299,61.6982,8.2587,-0.003,311,49.5379,7.5992,0.0262,329,25.0038,5.8312,0.5567,348,13.5546,4.8988,0.6851,343,1.6572,4.3535,1.1986,1.4897625875382303,0.5567,5.8847000000000005,25.605181,0.0855553951717385,4.708040823289393,13.9957808511523,0.5558600543934956,4.891245299805028,14.033909724086445
0.5,293,75.2486,5.7228,-0.5781,299,62.5237,8.2526,-0.1594,311,50.298,7.6027,0.074,329,25.5896,5.8858,0.4727,348,14.0479,4.9657,0.6865,343,2.0986,4.4753,1.2773,1.4825938314577805,0.4727,5.931970000000001,26.198378,0.1209123049013349,4.716596362806566,14.467440487432956,0.5396340193867132,4.946831305244378,14.528592854610883
0.6,293,75.818,5.6657,-0.4964,299,63.348,8.2329,-0.3622,311,51.0586,7.6081,0.0792,329,26.1805,5.9312,0.3889,348,14.5477,5.0311,0.6524,343,2.5525,4.6034,1.3276,1.4770952184608437,0.3889,5.97086,26.795464000000003,0.1500301680577892,4.7286875932967,14.940309246762626,0.5204400315566098,5.000794707183049,15.028672325329188
0.7,293,76.3821,5.6161,-0.4345,299,64.1695,8.1982,-0.5572,311,51.8196,7.6124,0.0531,329,26.7754,5.9676,0.3065,348,15.054,5.0956,0.6638,343,3.0195,4.7354,1.3543,1.4733412179099707,0.3065,6.001510000000001,27.395615,0.1742987326010384,4.743690610102479,15.414678307772872,0.4991430619047904,5.05283871033871,15.533956196363059
0.8,293,76.9415,5.572,-0.4006,299,64.987,8.1506,-0.553,311,52.5809,7.6136,-0.0152,329,27.3736,5.9968,0.2524,348,15.567,5.1639,0.7312,343,3.4997,4.8693,1.3236,1.4710704013352354,0.2524,6.026750000000001,27.99829,0.1966410664244889,4.761120483362583,15.890790356109132,0.47939520368201455,5.1027530165291894,16.04423149801598
0.9,293,77.4967,5.5317,-0.3704,299,65.7992,8.0943,-0.6188,311,53.3421,7.6105,-0.0899,329,27.9746,6.0229,0.2466,348,16.0871,5.2382,0.7847,343,3.9934,5.0041,1.3271,1.4697797909230337,0.2466,6.051410000000001,28.603431,0.2191359339480451,4.780784590005032,16.368868815109636,0.46350652457044234,5.150692536897391,16.559300751705717
1.0,293,78.048,5.4945,-0.341,299,66.6056,8.0331,-0.6564,311,54.1028,7.6029,-0.1682,329,28.5783,6.0507,0.2915,348,16.6147,5.3143,0.7401,343,4.5005,5.138,1.3068,1.468580710896728,0.2915,6.08056,29.211487,0.2418438997350242,4.802698183399837,16.84913863344962,0.45092368224635554,5.197043189354435,17.07900507064116
1.1,293,78.5958,5.4605,-0.3087,299,67.4056,7.9679,-0.7004,311,54.8624,7.5904,-0.1585,329,29.185,6.0828,0.3384,348,17.1498,5.3868,0.6848,343,5.0208,5.2679,1.2477,1.4665325862922225,0.3384,6.114400000000001,29.822927,0.2636208232631817,4.826882573373339,17.331826890786953,0.44078304688205255,5.24213555757907,17.603218626399066
1.2,293,79.1403,5.43,-0.2714,299,68.1989,7.8977,-0.7377,311,55.6206,7.5733,-0.2062,329,29.795,6.1179,0.3501,348,17.6919,5.4547,0.6487,343,5.5537,5.3898,1.0961,1.4630708575847764,0.3501,6.1494100000000005,30.437868,0.2824331711375367,4.853244655699657,17.81715135635692,0.4304493492751629,5.286213862267275,18.131840012625794
1.3,293,79.682,5.4031,-0.2365,299,68.9849,7.8214,-0.7994,311,56.3769,7.5525,-0.2358,329,30.4085,6.1515,0.3097,348,18.2406,5.5206,0.6461,343,6.0982,5.5001,0.9735,1.4584392101126211,0.3097,6.18038,31.055906,0.2964820540423049,4.881487972813411,18.30530015363826,0.41792867700794684,5.329258797194791,18.664765892345272
1.4,293,80.2211,5.3798,-0.2056,299,69.763,7.7402,-0.8373,311,57.131,7.5296,-0.2502,329,31.025,6.1796,0.2427,348,18.796,5.5863,0.6501,343,6.653,5.5969,0.8412,1.4535616268620726,0.2427,6.204650000000001,31.676371,0.3055718452936683,4.9111361782176415,18.796413771460024,0.40307151778371114,5.371051664895586,19.201871058834833
1.5,293,80.7581,5.3592,-0.1848,299,70.5328,7.6573,-0.8336,311,57.8828,7.5054,-0.2901,329,31.6441,6.2015,0.189,348,19.3578,5.6509,0.6321,343,7.2169,5.6804,0.7254,1.449385760866736,0.189,6.22355,32.298726,0.3113284986277315,4.941693362747008,19.29058310773473,0.3862208682023287,5.411358816673958,19.743006940502227
1.6,293,81.293,5.3401,-0.1659,299,71.2945,7.5769,-0.7686,311,58.632,7.4792,-0.3183,329,32.2652,6.22,0.1764,348,19.9261,5.7137,0.6142,343,7.7886,5.7534,0.67,1.44615472269578,0.1764,6.2411900000000005,32.922845,0.3159950463310284,4.972826212609782,19.787865728995705,0.3707846528513048,5.449980903494191,20.288005030851647
1.7,293,81.8261,5.3219,-0.1596,299,72.0485,7.5026,-0.6964,311,59.3778,7.4368,-0.3538,329,32.8881,6.239,0.1971,348,20.5005,5.7754,0.6098,343,8.3672,5.8194,0.6172,1.4432675732459674,0.1971,6.2609,33.548935,0.3211052932917319,5.004425717242885,20.28830830071999,0.3572847087091771,5.487059368779321,20.83671096772958
1.8,293,82.3575,5.3052,-0.1406,299,72.7954,7.4349,-0.6379,311,60.1199,7.4049,-0.3882,329,33.5131,6.2602,0.218,348,21.0811,5.8369,0.596,343,8.9522,5.8808,0.5784,1.4385373042721,0.218,6.2827,34.177205,0.3267949705137551,5.036536246572058,20.7919619253772,0.34587885530911283,5.522787839650239,21.388989751694602
1.9,293,82.8873,5.2917,-0.1008,299,73.5356,7.3704,-0.633,311,60.8586,7.3703,-0.3669,329,34.1402,6.2827,0.22,348,21.6679,5.8978,0.582,343,9.5432,5.9387,0.5517,1.4342215841215695,0.22,6.3047,34.807675,0.3320501634976665,5.069215743623433,21.29888349973954,0.3356532009313979,5.55737572518115,21.944727324212717
2.0,293,83.4161,5.2835,-0.0861,299,74.2693,7.3033,-0.7264,311,61.5938,7.3334,-0.3889,329,34.7696,6.3042,0.2003,348,22.2606,5.956,0.5451,343,10.1399,5.9952,0.5867,1.4291990207065344,0.2003,6.324730000000001,35.440148,0.3357847513584907,5.102420759973199,21.80912557573686,0.32574031388181435,5.59094104527429,22.503821428740146
2.1,293,83.9443,5.2817,0.0268,299,74.996,7.2292,-0.8156,311,62.3252,7.2944,-0.4084,329,35.401,6.3237,0.1787,348,22.8589,6.0099,0.4975,343,10.7423,6.0528,0.6151,1.42395943413334,0.1787,6.342600000000001,36.074408,0.3377663351999617,5.135999235109049,22.322725499247767,0.31597423744088776,5.623515076662471,23.066172936406392
2.2,293,84.4728,5.2868,0.1455,299,75.7148,7.1468,-0.898,311,63.0526,7.2537,-0.4255,329,36.0342,6.3419,0.1784,348,23.4623,6.059,0.4384,343,11.3506,6.1144,0.6719,1.4187277276089414,0.1784,6.3604400000000005,36.710452000000004,0.3384020583110508,5.169775868629045,22.839703086110667,0.30659517445192963,5.65511250040656,23.631684186447046
2.3,293,85.0021,5.2993,0.2752,299,76.425,7.0576,-0.9567,311,63.7759,7.2114,-0.4441,329,36.6694,6.3605,0.1922,348,24.0704,6.1034,0.3963,343,11.9655,6.1824,0.746,1.413400436193306,0.1922,6.37966,37.348418,0.3381033491011217,5.203616074460149,23.360064693556684,0.29768573925828695,5.685772017851753,24.20026138823222
2.4,293,85.533,5.3196,0.247,299,77.126,6.9637,-0.9682,311,64.4948,7.1674,-0.4608,329,37.3064,6.3804,0.2035,348,24.6827,6.1432,0.3522,343,12.5875,6.2571,0.7403,1.4076182158073751,0.2035,6.400010000000001,37.988419,0.3368214303209443,5.237426409370261,23.88380733449371,0.2888588963022511,5.7155405917775814,24.77181544740998
2.5,293,86.0663,5.3466,0.307,299,77.8175,6.8663,-0.9993,311,65.2093,7.1217,-0.4791,329,37.9454,6.4005,0.1949,348,25.2988,6.1781,0.3035,343,13.2171,6.3359,0.7554,1.4011625802134358,0.1949,6.4195,38.630369,0.3337750015898071,5.271108552402356,24.41091818973395,0.2792285744409574,5.744426481407807,25.346258095550763
2.6,293,86.6026,5.3779,0.3324,299,78.4991,6.7659,-1.0271,311,65.919,7.0738,-0.5077,329,38.5864,6.4188,0.1536,348,25.9181,6.208,0.2756,343,13.8545,6.4124,0.6961,1.394245769939851,0.1536,6.4348600000000005,39.273855,0.328888789051263,5.304486052561336,24.94136679499008,0.2686533016412276,5.772349338851902,25.923493029435953
2.7,293,87.1419,5.41,0.3263,299,79.1706,6.6632,-1.048,311,66.6238,7.0222,-0.5366,329,39.2291,6.4342,0.1263,348,26.5402,6.2342,0.2495,343,14.4991,6.4797,0.5825,1.3872294949851225,0.1263,6.44749,39.918604,0.3222153074759871,5.337374931466463,25.475104288136727,0.2568107287512177,5.799214669016025,26.503414496337555
2.8,293,87.6845,5.4409,0.3053,299,79.8317,6.5594,-1.0061,311,67.3232,6.9659,-0.5839,329,39.8731,6.4469,0.1036,348,27.1649,6.2592,0.2509,343,15.1498,6.5346,0.4249,1.3802056787280783,0.1036,6.4578500000000005,40.564389000000006,0.3143348595020875,5.369596462214061,26.01206393435813,0.2445603135178447,5.8248957418911465,27.08590407052667
