t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3,v5_mpc_base2_field,v5_mpc_base2_field_smoothed,a5_mpc_base2_field_smoothed,Y5_mpc_base2_field_smoothed
0.0,59,82.548,6.0499,-0.4492,79,54.4746,5.632,0.3517,87,38.7919,5.2226,0.2512,93,25.9342,4.553,0.3476,97,14.5296,4.1005,0.3935,116,0.0,3.7437,0.7714,0.3476,0.3476,4.58776,26.392976,0.3935,4.1005,14.93965,0.3935,4.1005,14.93965,4.56231714814,4.56231714814,0.3124874759000029,15.395881714814001
0.1,59,83.1508,6.0069,-0.4487,79,55.0396,5.6686,0.4687,87,39.3156,5.2513,0.2027,93,26.3912,4.5873,0.2893,97,14.9417,4.1398,0.4205,116,0.3782,3.821,0.7971,0.783471621971782,0.2893,4.61669,26.854645,0.511368828131378,4.13985,15.353635,0.171023779410425,4.13985,15.353635,4.59356589573,4.59356589573,0.31248747589999404,15.855238304387
0.2,59,83.7484,5.9434,-0.3581,79,55.6088,5.7143,0.4771,87,39.8418,5.2722,0.1299,93,26.8514,4.6158,0.2347,97,15.3577,4.182,0.4534,116,0.7643,3.9008,0.8214,0.780061113225859,0.2347,4.64016,27.318661,0.508493919777148,4.19098688281314,15.7727336882813,0.177015346070743,4.15695237794104,15.7693302377941,4.62481464332,4.62481464332,0.3124874759000029,16.317719768719
0.3,59,84.3413,5.9154,-0.311,79,56.1826,5.7631,0.4655,87,40.3696,5.2834,0.0472,93,27.3138,4.6326,0.196,97,15.7783,4.2281,0.4978,116,1.1585,3.9825,0.8039,0.778143931691279,0.196,4.65976,27.784637,0.499073350397228,4.24183627479085,16.1969173157604,0.181272954126428,4.17465391254812,16.1867956290489,4.65606339091,4.65606339091,0.3124874759000029,16.78332610781
0.4,59,84.9316,5.8899,-0.2969,79,56.7612,5.8083,0.409,87,40.8981,5.2857,-0.0296,93,27.7782,4.6543,0.2036,97,16.2036,4.2787,0.5446,116,1.5609,4.0645,0.7961,0.780860658951145,0.2036,4.68012,28.252649,0.508892107816583,4.29174360983058,16.6260916767435,0.193433954437997,4.19278120796076,16.606073749845,4.6873121385,4.6873121385,0.31248747589999404,17.25205732166
0.5,59,85.5193,5.8654,-0.2024,79,57.344,5.8487,0.3712,87,41.4265,5.284,-0.0497,93,28.2449,4.6797,0.3232,97,16.6342,4.3331,0.5783,116,1.9713,4.1443,0.7624,0.778083677893625,0.3232,4.71244,28.723893,0.511020438488758,4.34263282061223,17.0603549588047,0.204320162312227,4.21212460340456,17.0272862101854,4.71856088609,4.71856088609,0.3124874759000029,17.723913410269
0.6,59,86.1047,5.8425,-0.1802,79,57.9308,5.8866,0.362,87,41.9549,5.2837,0.0366,93,28.7145,4.7139,0.444,97,17.0703,4.3894,0.5514,116,2.3895,4.2198,0.7104,0.771619935192506,0.444,4.75684,29.199577,0.520730407010025,4.39373486446111,17.4997284452508,0.220173147964076,4.23255661963578,17.450541872149,4.74980963368,4.74980963368,0.3124874759000029,18.198894373637
0.7,59,86.688,5.8238,-0.1335,79,58.5213,5.9239,0.3608,87,42.4835,5.2876,0.1406,93,29.1882,4.76,0.593,97,17.512,4.4449,0.5299,116,2.815,4.2898,0.6589,0.759576450340892,0.593,4.81614,29.681191,0.536120340933775,4.44580790516211,17.944309235767,0.240320608122363,4.25457393443219,17.8759992655922,4.78105838127,4.78105838127,0.31248747589999404,18.677000211764
0.8,59,87.2698,5.8116,-0.0716,79,59.1156,5.9606,0.3517,87,43.0126,5.2955,0.097,93,29.6672,4.8192,0.7365,97,17.9592,4.4977,0.5008,116,3.2472,4.3549,0.6169,0.740452288477211,0.7365,4.88979,30.17017,0.552186602645618,4.49941993925549,18.3942512296926,0.262551136877038,4.27860599524443,18.3038598651167,4.81230712886,4.81230712886,0.3124874759000029,19.15823092465
0.9,59,87.8507,5.8066,-0.0172,79,59.7134,5.9954,0.3223,87,43.5427,5.3059,0.1139,93,30.1526,4.8894,0.7533,97,18.4114,4.5479,0.4768,116,3.6858,4.4166,0.593,0.7130162758484,0.7533,4.96512,30.666682,0.566259130129174,4.55463859952005,18.8497150896446,0.285133626918163,4.30486110893213,18.7343459760099,4.84355587645,4.84355587645,0.3124874759000029,19.642586512295
