t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3,v5_mpc_base2_field,v5_mpc_base2_field_smoothed,a5_mpc_base2_field_smoothed,Y5_mpc_base2_field_smoothed
0.0,43.0,64.2149,5.1438,1.1989,61.0,48.4873,5.0758,0.4607,67.0,38.2109,4.4821,0.1284,77.0,19.8304,2.1469,0.777,94.0,8.0964,2.097,0.1497,102.0,0.0,1.913,0.2866,0.777,0.777,2.2246,20.05286,0.1497,2.097,8.3061,0.1497,2.097,8.3061,2.04431059,2.2341394305,0.0,8.52951394305
0.1,43.0,64.7352,5.2635,1.1983,61.0,48.9972,5.1225,0.452,67.0,38.6597,4.4945,0.0774,77.0,20.049,2.2236,0.8063,94.0,8.3068,2.112,0.1423,102.0,0.1927,1.9417,0.2877,1.68915547851058,0.8063,2.30523,20.283383,0.073665067990386,2.11197,8.517297,0.112842603540948,2.11197,8.517297,2.04431059,2.2341394305,0.0,8.7529278861
0.2,43.0,65.2675,5.3818,1.1247,61.0,49.5119,5.1711,0.4608,67.0,39.1094,4.4991,-0.0008,77.0,20.2754,2.3053,0.8494,94.0,8.5187,2.1261,0.1321,102.0,0.3884,1.9712,0.297,1.68530379420735,0.8494,2.39017,20.5224,0.115334807312946,2.11933650679904,8.7292306506799,0.186155926268358,2.12325426035409,8.72962242603541,2.04431059,2.2341394305,0.0,8.976341829150002
0.3,43.0,65.8114,5.4963,1.0735,61.0,50.0314,5.2185,0.4305,67.0,39.559,4.4936,-0.1322,77.0,20.5102,2.3903,0.8751,94.0,8.732,2.1394,0.1217,102.0,0.587,2.0016,0.3031,1.6805585719348,0.8751,2.47768,20.770168,0.114851588159944,2.13086998753033,8.94231764943294,0.23343085599014,2.14186985298093,8.9438094113335,2.04431059,2.2341394305,0.0,9.199755772200001
0.4,43.0,66.3664,5.6042,0.9973,61.0,50.5553,5.2602,0.3525,67.0,40.0076,4.4783,-0.242,77.0,20.7536,2.4773,0.8882,94.0,8.9465,2.1513,0.1075,102.0,0.7887,2.0318,0.2947,1.67491239743057,0.8882,2.5665,21.026818,0.16502955206013,2.14235514634633,9.15655316406757,0.311862072367411,2.16521293857994,9.1603307051915,2.04431059,2.2341394305,0.0,9.423169715250001
0.5,43.0,66.9318,5.7031,0.9023,61.0,51.0829,5.2921,0.2632,67.0,40.4543,4.4562,-0.2983,77.0,21.0057,2.5655,0.8997,94.0,9.1622,2.1618,0.095,102.0,0.9933,2.0599,0.2657,1.66840077687114,0.8997,2.65647,21.292465,0.170208457832578,2.15885810155234,9.3724389742228,0.354081554965653,2.19639914581669,9.37997061977316,2.04431059,2.2341394305,0.0,9.6465836583
0.6,43.0,67.5065,5.7916,0.7443,61.0,51.6132,5.3138,0.1722,67.0,40.8987,4.4318,-0.2058,77.0,21.2668,2.6553,0.9192,94.0,9.3789,2.1718,0.1035,102.0,1.2005,2.0843,0.2214,1.66110789334656,0.9192,2.74839,21.567304,0.178393171962928,2.1758789473356,9.59002686895636,0.394414826112467,2.23180730131325,9.60315134990449,2.04431059,2.2341394305,0.0,9.86999760135
0.7,43.0,68.0896,5.8687,0.6391,61.0,52.1454,5.3298,0.1489,67.0,41.3408,4.4088,-0.1818,77.0,21.5369,2.7473,0.9456,94.0,9.5966,2.183,0.1285,102.0,1.41,2.1052,0.1971,1.65306577507058,0.9456,2.84295,21.851599,0.189889789641129,2.19371826453189,9.80939869540955,0.433361371744633,2.2712487839245,9.83027622829694,2.04431059,2.2341394305,0.0,10.093411544400002
0.8,43.0,68.6797,5.9337,0.5272,61.0,52.6792,5.3469,0.1931,67.0,41.7807,4.3895,-0.1422,77.0,21.8164,2.842,0.9732,94.0,9.8156,2.1971,0.1632,102.0,1.6215,2.1259,0.2168,1.64427976189816,0.9732,2.94027,22.145626,0.204486286443601,2.212707243496,10.0306694197592,0.471088751410036,2.31458492109896,10.0617347204068,2.04431059,2.2341394305,0.0,10.316825487450002
0.9,43.0,69.2756,5.9855,0.4038,61.0,53.2151,5.3698,0.2709,67.0,42.219,4.3761,-0.0837,77.0,22.1054,2.9393,0.9922,94.0,10.0361,2.2134,0.1735,102.0,1.8353,2.15,0.2553,1.6347167638251,0.9922,3.03949,22.449575,0.222180203761911,2.23315587214036,10.2539850069732,0.507553695199323,2.36169379623996,10.2979041000308,2.04431059,2.2341394305,0.0,10.540239430500002
1.0,43.0,69.8761,6.023,0.2665,61.0,53.7535,5.3993,0.3316,67.0,42.6563,4.3704,-0.0176,77.0,22.4043,3.0388,1.0125,94.0,10.2582,2.2286,0.0777,102.0,2.0517,2.1782,0.2859,1.62443330123972,1.0125,3.14074,22.763649,0.242314909796083,2.25537389251655,10.4795223962248,0.542442130478498,2.4124491657599,10.5391490166068,2.04431059,2.2341394305,0.29204437000000194,10.763653373550001
1.1,43.0,70.4795,6.0463,0.146,61.0,54.2951,5.4329,0.3573,67.0,43.0934,4.3724,0.0638,77.0,22.7133,3.1401,1.0295,94.0,10.4816,2.2393,0.0439,102.0,2.271,2.2071,0.2704,1.61352391048429,1.0295,3.24369,23.088018,0.264422280096656,2.27960538349616,10.7074829345745,0.575512266859256,2.46669337880775,10.7858183544876,2.04431059,2.2633438675,0.2920443699999975,10.989987760300002
1.2,43.0,71.0848,6.0591,0.0809,61.0,54.8402,5.4676,0.3507,67.0,43.531,4.3794,0.0988,77.0,23.0324,3.243,1.0437,94.0,10.7058,2.244,0.0094,102.0,2.493,2.2327,0.2216,1.60203117291215,1.0437,3.34806,23.422824,0.288037235581142,2.30604761150583,10.938087695725,0.606536519080038,2.52424460549367,11.038242815037,2.33635496,2.2925483045,0.29204437000000194,11.219242590750001
1.3,43.0,71.6912,6.0687,0.089,61.0,55.3886,5.5008,0.3241,67.0,43.9694,4.3875,0.0879,77.0,23.3619,3.3471,1.0482,94.0,10.9302,2.2434,-0.0155,102.0,2.7173,2.2534,0.1792,1.58984455237378,1.0482,3.45288,23.768112,0.31299322538193,2.33485133506394,11.1715728292314,0.635607378839735,2.58489825740168,11.2967326407771,2.33635496,2.3217527415,0.2920443699999975,11.451417864900002
