t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL
0.0,392,88.2955,9.643,0.0686,396,74.4997,9.9478,0.6055,402,56.4792,8.8043,-0.1916,407,36.0577,9.6076,0.067,415,13.1593,8.9229,0.5863,418,0.0,8.517,0.0696,0.067,0.067
0.1,392,89.2601,9.6493,0.0302,396,75.4976,10.0091,0.546,402,57.3587,8.7868,-0.1957,407,37.0187,9.6126,-0.0022,415,14.0547,8.9848,0.6009,418,0.8529,8.5402,0.0398,-0.36895437148331833,-0.0022
0.2,392,90.2251,9.6506,-0.0153,396,76.5012,10.0631,0.4677,402,58.2363,8.7638,-0.2335,407,37.9796,9.6062,-0.138,415,14.9561,9.0432,0.5225,418,1.7074,8.5502,0.0072,-0.3989992099617894,-0.138
0.3,392,91.19,9.6473,-0.0668,396,77.5097,10.1079,0.3421,402,59.1114,8.7393,-0.2259,407,38.9393,9.5883,-0.2591,415,15.863,9.094,0.4516,418,2.5622,8.5457,-0.0283,-0.42196957010187075,-0.2591
0.4,392,92.1544,9.6406,-0.1017,396,78.5223,10.1427,0.2565,402,59.9843,8.7182,-0.1702,407,39.8968,9.561,-0.3472,415,16.7746,9.1391,0.4099,418,3.4158,8.5259,-0.2967,-0.4354667904292322,-0.3472
0.5,392,93.118,9.6312,-0.1321,396,79.5378,10.1685,0.1861,402,60.8554,8.7042,-0.7719,407,40.8512,9.5277,-0.3922,415,17.6906,9.1812,0.39,418,4.2666,8.4906,-0.4579,-0.4385683115273264,-0.3922
0.6,392,94.0805,9.619,-0.1503,396,80.5556,10.1869,0.1317,402,61.7255,8.6984,-0.1681,407,41.8022,9.4925,-0.314,415,18.6108,9.2213,0.3707,418,5.1132,8.4418,-0.5891,-0.43226692439126285,-0.314
0.7,392,95.0416,9.6029,-0.1993,396,81.5749,10.1995,0.0647,402,62.5954,8.6988,0.2374,407,42.7499,9.4595,-0.2771,415,19.5347,9.2582,0.3304,418,5.9545,8.3835,-0.6592,-0.4196346871723585,-0.2771
0.8,392,96.0009,9.5821,-0.2518,396,82.5953,10.2069,0.032,402,63.4642,8.6769,0.5053,407,43.6944,9.4317,-0.2211,415,20.4621,9.2892,0.2378,418,6.7899,8.3256,-3.4138,-0.40538182157169433,-0.2211
0.9,392,96.9578,9.5571,-0.2905,396,83.6161,10.2099,0.0066,402,64.3323,8.6845,0.097,407,44.6365,9.4103,-0.1632,415,21.3921,9.3119,0.1608,418,7.6205,8.2867,-3.4138,-0.4065964942617384,-0.1632
1.0,392,97.9122,9.5298,-0.2452,396,84.6371,10.21,-0.0051,402,65.2012,8.6945,0.1211,407,45.5768,9.395,-0.0431,415,22.3241,9.3271,0.1045,418,8.4492,8.2862,3.4138,-0.3988850555380027,-0.0431
1.1,392,98.8638,9.5035,-0.222,396,85.6581,10.2094,-0.0094,402,66.0713,8.7067,0.1434,407,46.5158,9.3853,-0.0239,415,23.2574,9.338,0.0857,418,9.2798,8.3267,3.4138,-0.39515474261878286,-0.0239
1.2,392,99.8131,9.4812,-0.1742,396,86.679,10.2093,0.0077,402,66.9427,8.7209,0.1657,407,47.4541,9.3813,-0.0041,415,24.1917,9.348,0.0991,418,10.1158,8.3933,0.7362,-0.3950562865124743,-0.0041
1.3,392,100.7604,9.4646,-0.1191,396,87.6999,10.2094,-0.0033,402,67.8156,8.7372,0.1878,407,48.3923,9.3828,0.0145,415,25.127,9.3585,0.101,418,10.959,8.4694,0.7673,-0.3989045083546482,0.0145
1.4,392,101.7063,9.4538,0.0088,396,88.7208,10.2079,-0.0553,402,68.6902,8.756,0.2164,407,49.3309,9.3893,0.1003,415,26.0633,9.3686,0.0935,418,11.8097,8.5464,0.7537,-0.40657816400915475,0.1003
1.5,392,102.6514,9.4475,0.0046,396,89.7414,10.2033,-0.0713,402,69.5669,8.7778,0.2547,407,50.2704,9.4008,0.158,415,27.0007,9.3778,0.0833,418,12.6681,8.621,0.7209,-0.4175108468467417,0.158
1.6,392,103.596,9.4451,0.0005,396,90.7613,10.1956,-0.1014,402,70.446,8.8036,0.2999,407,51.2114,9.4178,0.2247,415,27.9388,9.3857,0.0587,418,13.5337,8.6911,0.5847,-0.4315169673311934,0.2247
1.7,392,104.5406,9.4471,-0.0049,396,91.7804,10.1859,-0.1172,402,71.3278,8.8331,0.3048,407,52.1543,9.4403,0.2808,415,28.8777,9.3918,0.0406,418,14.406,8.7537,0.5033,-0.4486845022606019,0.2808
1.8,392,105.4857,9.4547,0.1022,396,92.7984,10.1747,-0.1333,402,72.2127,8.865,0.3169,407,53.0996,9.4657,0.1639,415,29.8171,9.3956,0.0209,418,15.2839,8.8051,0.3899,-0.4692511400514169,0.1639
