t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL
0.0,74,72.6372,3.7414,0.3144,60,61.9946,3.2682,0.3244,84,47.1403,3.8045,-0.1766,100,30.6997,4.5163,0.2676,107,19.7645,3.177,0.4063,122,0.0,2.7302,1.3422,0.2676,0.2676
0.1,74,73.013,3.7731,0.2926,60,62.323,3.3002,0.3753,84,47.52,3.7876,-0.1296,100,31.1528,4.5444,0.2844,107,20.0842,3.217,0.4068,122,0.2725,2.7195,-0.1401,0.9573590304545864,0.2844
0.2,74,73.3917,3.8018,0.2576,60,62.6549,3.3382,0.455,84,47.8981,3.7745,-0.124,100,31.6086,4.5728,0.2103,107,20.408,3.2578,0.3986,122,0.5437,2.7043,-0.1885,0.932666670537592,0.2103
0.3,74,73.7732,3.8268,0.2237,60,62.9911,3.3842,0.552,84,48.2749,3.7622,-0.1315,100,32.0671,4.5973,0.1605,107,20.7357,3.2966,0.3689,122,0.8131,2.6848,-0.2315,0.9073735009434103,0.1605
0.4,74,74.1569,3.8482,0.1952,60,63.3322,3.4388,0.5956,84,48.6504,3.7484,-0.1531,100,32.5277,4.6136,0.0863,107,21.0672,3.333,0.3501,122,1.0805,2.6621,-0.2581,0.8831418627787775,0.0863
0.5,74,74.5427,3.8676,0.183,60,63.6792,3.5003,0.6497,84,49.0245,3.733,-0.1685,100,32.9894,4.6205,0.0184,107,21.4023,3.3695,0.3898,122,1.3455,2.6377,-0.2542,0.8620121551686427,0.0184
0.6,74,74.9304,3.8864,0.1826,60,64.0324,3.5652,0.6654,84,49.397,3.7167,-0.1541,100,33.4514,4.6204,-0.1575,107,21.7413,3.4098,0.4473,122,1.608,2.6124,-0.2629,0.8449350681447708,-0.1575
0.7,74,75.32,3.9052,0.208,60,64.3922,3.6307,0.6614,84,49.7679,3.7012,-0.141,100,33.9133,4.6177,-0.1612,107,22.0845,3.4556,0.5036,122,1.8679,2.5858,-0.2793,0.8309983526133321,-0.1612
0.8,74,75.7115,3.9244,0.213,60,64.7586,3.6961,0.6425,84,50.1373,3.6873,-0.1242,100,34.3751,4.6168,0.0588,107,22.4326,3.5054,0.5301,122,2.125,2.5576,-0.2969,0.8182493664427212,0.0588
0.9,74,76.1049,3.9449,0.2353,60,65.1315,3.7619,0.6508,84,50.5054,3.6749,-0.1116,100,34.8369,4.62,0.3233,107,22.7857,3.5566,0.5156,122,2.3793,2.5283,-0.2446,0.8043938080866727,0.3233
