t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL
0.0,402,93.1644,9.0851,0.0266,407,74.6177,9.1862,-0.0014,415,51.1737,9.0067,-0.3,418,35.9131,9.0612,0.2898,427,19.1736,9.8205,-1.0867,440,0.0,9.1309,1.7374,0.2898,0.2898
0.1,402,94.0732,9.0901,0.0762,407,75.5364,9.1878,0.0398,415,52.0728,8.9762,-0.3123,418,36.8207,9.0898,0.2778,427,20.1506,9.7192,-0.6156,440,0.9218,9.3044,1.6192,-1.0833307930764546,0.2778
0.2,402,94.9826,9.0979,0.0853,407,76.4555,9.1934,0.0972,415,52.9689,8.9449,-0.3161,418,37.7311,9.1178,0.2781,427,21.1198,9.6652,-0.2925,440,1.8602,9.4652,1.4522,-1.145590296963775,0.2781
0.3,402,95.8927,9.1052,0.0656,407,77.3754,9.2041,0.1608,415,53.8618,8.9143,-0.2432,418,38.6443,9.1464,0.2843,427,22.0847,9.6326,-0.334,440,2.8141,9.6119,1.3111,-1.2108887393928365,0.2843
0.4,402,96.8035,9.1105,0.0388,407,78.2965,9.2197,0.2158,415,54.7519,8.8868,-0.2042,418,39.5604,9.1759,0.2924,427,23.0462,9.5977,-0.4343,440,3.7818,9.743,1.158,-1.2799861233241403,0.2924
0.5,402,97.7147,9.1143,0.032,407,79.2195,9.2391,0.2095,415,55.6395,8.8659,-0.1364,418,40.4795,9.2055,0.2861,427,24.0038,9.5533,-0.5406,440,4.7619,9.8582,1.0107,-1.3515801397133171,0.2861
0.6,402,98.6264,9.1179,0.0339,407,80.1445,9.261,0.2272,415,56.5255,8.8539,-0.058,418,41.4014,9.2336,0.264,427,24.9564,9.4997,-0.6374,440,5.7527,9.9584,0.8207,-1.421924838051006,0.264
0.7,402,99.5383,9.1216,0.0321,407,81.0717,9.2841,0.2354,415,57.4107,8.8501,-0.0093,418,42.3261,9.2591,0.2042,427,25.9033,9.438,-0.6599,440,6.7529,10.0444,0.6967,-1.4864103862755298,0.2042
0.8,402,100.4506,9.1242,0.0244,407,82.0013,9.3074,0.2318,415,58.2957,8.8501,0.0079,418,43.2531,9.2812,0.1741,427,26.8437,9.3698,-0.7161,440,7.7609,10.1155,0.5575,-1.543356224696891,0.1741
0.9,402,101.363,9.124,-0.0298,407,82.9332,9.3295,0.1678,415,59.1807,8.8492,-0.035,418,44.1821,9.2994,0.1366,427,27.777,9.2973,-0.7467,440,8.7751,10.1699,0.4005,-1.594275115728541,0.1366
1.0,402,102.2752,9.1194,-0.1012,407,83.8671,9.3484,0.1331,415,60.0654,8.8449,-0.0994,418,45.1127,9.3126,0.0882,427,28.7031,9.2233,-0.7446,440,9.7939,10.2059,1.0914,-1.6417473889616008,0.0882
1.1,402,103.1867,9.11,-0.1716,407,84.8026,9.362,0.0847,415,60.9495,8.8365,-0.103,418,46.0443,9.3194,0.048,427,29.6218,9.1513,-0.6504,440,10.8154,10.2228,0.2883,-1.685975262983366,0.048
1.2,402,104.097,9.0963,-0.1599,407,85.7392,9.3695,0.0344,415,61.8325,8.8243,-0.1376,418,46.9762,9.3187,-0.0683,427,30.5336,9.0843,-0.5902,440,11.8375,10.2197,-0.5408,-1.7251450228686556,-0.0683
1.3,402,105.0058,9.0794,-0.1853,407,86.6762,9.3715,-0.0008,415,62.7142,8.8095,-0.153,418,47.9076,9.3097,-0.1894,427,31.439,9.0249,-0.5103,440,12.8583,10.1967,-1.3452,-1.7570626999478098,-0.1894
1.4,402,105.9128,9.0607,-0.1978,407,87.6133,9.3707,-0.0077,415,63.5944,8.7948,-0.1336,418,48.8377,9.2926,-0.3028,427,32.339,8.9746,-0.42,440,13.8759,10.1553,-0.5592,-1.7790152295856159,-0.3028
1.5,402,106.8179,9.0413,-0.1995,407,88.5503,9.3696,-0.0022,415,64.4733,8.7838,-0.0195,418,49.7658,9.2681,-0.3005,427,33.2344,8.9342,-0.3077,440,14.8885,10.0974,-0.7395,-1.7885782981910372,-0.3005
1.6,402,107.721,9.0221,-0.1749,407,89.4873,9.37,0.0053,415,65.3514,8.778,-0.0071,418,50.691,9.237,-0.3687,427,34.1263,8.9033,-0.2287,440,15.8946,10.0236,-0.9165,-1.7832654997774156,-0.3687
1.7,402,108.6223,9.0038,-0.1643,407,90.4244,9.371,0.0139,415,66.2292,8.7767,0.001,418,51.6129,9.1996,-0.433,427,35.0155,8.8807,-0.1618,440,16.8923,9.9317,-1.145,-1.7623830732116483,-0.433
1.8,402,109.5219,8.9868,-0.1495,407,91.3615,9.3709,-0.0161,415,67.1069,8.7782,0.0061,418,52.5307,9.1567,-0.4899,427,35.9028,8.8649,-0.1127,440,17.8799,9.8193,-0.5461,-1.7266881498038846,-0.4899
1.9,402,110.4198,8.972,-0.1258,407,92.2984,9.3684,-0.0556,415,67.9849,8.7818,0.0146,418,53.444,9.1089,-0.5026,427,36.7887,8.8531,-0.1277,440,18.8566,9.7156,-0.3763,-1.6786139248252796,-0.5026
2.0,402,111.3164,8.9606,0.5952,407,93.235,9.3634,-0.0891,415,68.8634,8.7874,0.021,418,54.3523,9.0576,-0.5318,427,37.6734,8.8415,-0.1527,440,19.8263,9.6778,0.0396,-1.619621236893748,-0.5318
2.1,402,112.2122,8.9546,0.1824,407,94.171,9.3563,-0.0895,415,69.7425,8.7951,0.0273,418,55.2554,9.0042,-0.5453,427,38.5568,8.8257,-0.2278,440,20.7956,9.7088,0.2362,-1.5519752508087707,-0.5453
2.2,402,113.1077,8.9551,-0.249,407,95.1062,9.347,-0.114,415,70.6212,8.7798,0.0337,418,56.1531,8.9501,-0.5452,427,39.4382,8.8023,-0.3365,440,21.7688,9.7546,0.2692,-1.4779322760615758,-0.5452
2.3,402,114.0035,8.9607,-0.4691,407,96.0403,9.3354,-0.1409,415,71.4998,8.7915,0.1403,418,57.0454,8.8964,-0.5497,427,40.3167,8.7687,-0.4367,440,22.7458,9.785,0.155,-1.4197577947074944,-0.5497
