t,a_1,a_2,v_1,v_2,x_1,x_2
1113433187.7,-0.4362249324021076,1.8251473536003724,7.190272467442112,4.715225356163049,-12.047933452785173,-42.502465364118365
1113433187.8,-1.1862249324021075,1.7193178895790964,7.324477187889407,4.623292848010095,-11.817669262703621,-41.42091252718033
1113433187.9,-1.5125848520815448,1.597019665045674,7.535313658946113,4.543575036868681,-11.788873594202997,-40.56836930447326
1113433188.0,-1.1943052624651336,1.4630914582008079,7.790953067669774,4.488253993879621,-11.872072570261802,-39.87934379743834
1113433188.1,-0.5358077553475993,1.3281099482610066,8.026858691516644,4.458419945659896,-11.902759360296605,-39.192245653206555
1113433188.2,0.030768859780219815,1.2005471345793366,8.2030799351592,4.448249418941592,-11.781803113582562,-38.39988618450915
1113433188.3,0.43307592257295513,1.0814589702712716,8.319021805520876,4.447213461823356,-11.514281927566024,-37.49048247160327
1113433188.4,0.7103436635538627,0.9697383212160305,8.384957786034011,4.44831113756666,-11.129552176813236,-36.48306579965632
1113433188.5,0.8831797092207905,0.8641724523642016,8.411379422225924,4.448793307992355,-10.653516467461616,-35.401083769726974
1113433188.6,0.9768529061303763,0.7642408648680029,8.412332655088598,4.4516472665406885,-10.11499480846497,-34.28246426859317
1113433188.7,1.0533768822711946,0.66918060975735,8.3960593668023,4.456635182380628,-9.533266223365523,-33.14750756921584
1113433188.8,1.1083498571508685,0.5792600053629456,8.364397507848066,4.463392950677779,-8.912024439816483,-31.999970723331753
1113433188.9,1.1418419919157226,0.49466636768006045,8.32171232826721,4.473616756275716,-8.258908897508292,-30.85180989644214
1113433189.0,1.1544199549866188,0.4153156341513381,8.271261327635688,4.487883318067759,-7.580374897605166,-29.71102617439275
1113433189.1,1.149989846289328,0.3410668193528652,8.215960400433447,4.506492822949046,-6.882562430556028,-28.58444737761236
1113433189.2,1.1320858618698044,0.2717841425207993,8.15761368798433,4.529038413193576,-6.169902507284128,-27.47540629487235
1113433189.3,1.0913473050150502,0.20694272858273988,8.094129671698443,4.551584568842589,-5.441532164214978,-26.37398745539738
1113433189.4,1.0448022837668451,0.14635933196251627,8.028995133135629,4.574890487923007,-4.704974559033406,-25.28892096161894
1113433189.5,0.9943707925610629,0.08994731932151723,7.961607738552831,4.5973473885206415,-3.9607047430549116,-24.21644680940223
1113433189.6,0.935334598399326,0.03779428442271604,7.887752206251105,4.61393420354287,-3.2044910122164953,-23.14050962635876
1113433189.7,0.8647820383932059,-0.010160731766825082,7.802114757073168,4.618050785762594,-2.431587964090264,-22.0409665162721
1113433189.8,0.7360026148214754,-0.056078625077914834,7.6925999164641485,4.596030222169578,-1.6289898042644069,-20.87375208039925
1113433189.9,0.5996869365103757,-0.102021208467855,7.573433008378435,4.556071438073802,-0.822622017851165,-19.682155297062987
1113433190.0,0.5093055598059959,-0.1478883369084718,7.460049150142873,4.512858394336064,-0.033822022220405756,-18.518995114041665
1113433190.1,0.4988251490491327,-0.19096380017493042,7.36306312956043,4.481591763425067,0.7286984341640803,-17.42550442819217
1113433190.2,0.4837830027471072,-0.2294743389007562,7.265456039068652,4.452963567855695,1.4957413102915957,-16.349344421236985
1113433190.3,0.44447540807330377,-0.2638593186903363,7.164815980437673,4.423649243389503,2.2696047424634074,-15.280224582676423
1113433190.4,0.3939396640146132,-0.2952105847876262,7.064296601642405,4.393963337270599,3.0429269709555236,-14.225525737129775
1113433190.5,0.3493339264615891,-0.3241121810706371,6.968567586631172,4.367149347139591,3.8079294642971853,-13.199445467715993
1113433190.6,0.3167964834033604,-0.35055230852187536,6.880758317360499,4.34668468862214,4.560959724904855,-12.212555814256314
1113433190.7,0.2958270672527304,-0.3740758216518172,6.8005764524763865,4.3332377029305515,5.303565594361261,-11.264080721279388
1113433190.8,0.26645354127312665,-0.39438657791179965,6.720082792693952,4.319734332038571,6.046906858003753,-10.326594847483356
1113433190.9,0.1997738588432868,-0.41232302302651014,6.6283596540793575,4.294095205342469,6.803408998230271,-9.36041682960047
1113433191.0,0.11234020061191609,-0.42952920348709456,6.52615623804808,4.253101477498172,7.566964294916831,-8.3639599518486
1113433191.1,0.025748531913077494,-0.4470127791529339,6.417005394335814,4.1981375741958065,8.329758510951526,-7.347436097260871
