t,veh_ID0,Y0,v0,a0,veh_ID1,Y1,v1,a1,veh_ID2,Y2,v2,a2,veh_ID-1,Y-1,v-1,a-1,a0_IDM,a0_PERL
1118848803.6,12.0,269.21616139184107,10.324145249842074,0.5893354040254244,16.0,250.1026002474055,10.62997360956,0.2518744778533354,22.0,225.53655447734957,11.158189066459236,0.2933055720297838,10.0,279.78162031035606,11.304888748489978,0.1383486381078069,0.5893354040254244,0.5893354040254244
1118848803.7,12.0,270.25154433396955,10.383513592730692,0.5920389130730381,16.0,251.16685520952947,10.655125632916771,0.2312862640480875,22.0,226.65387266697164,11.18817472598631,0.2995786256414199,10.0,280.91280330145565,11.318771073507982,0.1376894103813137,-2.396576819623769,0.5920389130730381
1118848803.8,12.0,271.2928644525407,10.442888778687465,0.5894715746602301,16.0,252.23353173470505,10.678404870599108,0.2158989818454879,22.0,227.7742631339229,11.21963461304044,0.3224543791054602,10.0,282.04537140670857,11.332591031545592,0.1371085245438131,-2.4296147006949567,0.5894715746602301
1118848803.9,12.0,272.34009514491385,10.501725068780438,0.5813153910394738,16.0,253.3024512491905,10.699985419103934,0.1626294406745538,22.0,228.8978594079892,11.252290868281529,0.3232335261442918,10.0,283.1793152748634,11.346286331553433,0.1352106930755015,-2.4660686332071,0.5813153910394738
1118848804.0,12.0,273.393149467259,10.559361378121904,0.5429889169239465,16.0,254.37340280150053,10.719045627098188,0.1371113215694256,22.0,230.02457626524088,11.282046276751352,0.1250632815323988,10.0,284.31461581519625,11.359724475100826,0.1293390832386695,-2.5049509445369704,0.5429889169239465
1118848804.1,12.0,274.4518571437575,10.614792151849793,0.5159487924595446,16.0,255.4460414140836,10.73372662456384,0.0937619916795746,22.0,231.15384088388456,11.303246096126328,0.0726845157154949,10.0,285.4512417211901,11.372793644776424,0.1253007894685033,-2.5450985263776453,0.5159487924595446
1118848804.2,12.0,275.5159260581856,10.666586136706655,0.4735124759936102,16.0,256.5198287701655,10.742020497073794,0.036667417529065,22.0,232.2846318273933,11.312572774046824,0.0143129243000592,10.0,286.5891514266215,11.38540046385119,0.1203306380914265,-2.584576354805474,0.4735124759936102
1118848804.3,12.0,276.58492386062727,10.713369912131297,0.4202348172999387,16.0,257.5940799168316,10.743002436249183,-0.0298865602762949,22.0,233.4157785027519,11.310360733124975,-0.0349464123491738,10.0,287.7282913096657,11.397397197034003,0.1134138679785228,-2.620472811980881,0.4202348172999387
1118848804.4,12.0,277.6583238501534,10.75462987838959,0.3829585182971339,16.0,258.6681018676257,10.737436579630105,-0.0933584381659394,22.0,234.5462844247918,11.299757707671228,-0.1507143905911864,10.0,288.8685893151662,11.408562912978532,0.1186928875212075,-2.649936792513138,0.3829585182971339
1118848804.5,12.0,278.73561490557285,10.791191230002642,0.3439189530494101,16.0,259.7413498834671,10.727523737199226,-0.126142050898379,22.0,235.67505735494024,11.27570089529734,-0.1581534385613756,10.0,290.0099607180487,11.418865144670416,0.1100884806241882,-2.67186114000656,0.3439189530494101
