t,veh_ID1,Y1,v1,a1,Following1,veh_ID2,Y2,v2,a2,Following2,veh_ID3,Y3,v3,a3
1113433413.2,978.0,101.56482902340757,10.574510636653232,-1.0089500487095149,995.0,995.0,89.16025287746572,9.247075094567135,-0.904656755566122,998.0,998.0,63.84927964019645,10.529496020859215,-0.07795757757494363
1113433413.3,978.0,102.61715429524578,10.471994800111213,-1.0169147372989245,995.0,995.0,90.08043144384841,9.156496233086505,-0.9022460760477498,998.0,998.0,64.90186164340393,10.522144043290439,-0.06236615166343406
1113433413.4,978.0,103.65925005200059,10.369920334984995,-1.0002278957332065,995.0,995.0,90.99146533670118,9.064181623969134,-0.9114810378477237,998.0,998.0,65.95375938215722,10.515810731775273,-0.058514778932826104
1113433413.5,978.0,104.6912764073869,10.270606772740631,-0.962355206648734,995.0,995.0,91.89329433337211,8.972398309449371,-0.8918076045385466,998.0,998.0,67.00500388510984,10.509079327277234,-0.08448801071131615
1113433413.6,978.0,105.7135900384146,10.175665847814193,-0.9264416634987409,995.0,995.0,92.78611987657952,8.88411255469857,-0.8427636479775266,998.0,998.0,68.05547984757595,10.500439922044606,-0.11463845218238942
1113433413.7,978.0,106.7266289053361,10.085111490615782,-0.8877667096224876,995.0,995.0,93.6704088241367,8.80166639644535,-0.7754467527381405,998.0,998.0,69.10493451829947,10.48865349242626,-0.1570226143899058
1113433413.8,978.0,107.73072914186504,9.99689323996326,-0.8796390116200642,995.0,995.0,94.5467768992729,8.725695106278492,-0.714050433461756,998.0,998.0,70.15301158044049,10.472887750393923,-0.2063561554746245
1113433413.9,978.0,108.72596649724395,9.90785386761434,-0.9042174459872312,995.0,995.0,95.4158069394791,8.65490569784565,-0.6738505017717258,998.0,998.0,71.19929740816026,10.452828804001411,-0.2271067653499466
1113433414.0,978.0,109.71215215886171,9.81585936474134,-0.9238418716609649,995.0,995.0,96.27789646592228,8.586884831018189,-0.6597702583845677,998.0,998.0,72.2433805474937,10.428833982667449,-0.26356945327081577
1113433414.1,978.0,110.68901567973516,9.721411052727786,-0.93814435106175,995.0,995.0,97.13320843756368,8.51935460180973,-0.6594790021913153,998.0,998.0,73.28492579451354,10.402070957729165,-0.2837144665716309
