t,a_0_origin,a_1_origin,a_2_origin,v_0_origin,v_1_origin,v_2_origin,x_0_origin,x_1_origin,x_2_origin
1113433914.6,0.6752446281394129,-0.5124433358107511,-1.385785726849687,8.748810780159351,11.743491903319793,11.1849582765937,0.0,-35.10345524593937,-61.05897548568021
1113433914.7,0.5974375273883965,-0.5961011052506515,-1.6565987356882428,8.815472702740642,11.69317411271526,11.04640862894614,0.8782141741449578,-33.93162194513762,-59.94740714040322
1113433914.8,0.5145690518983708,-0.6033646566904824,-1.3863544237096188,8.87285247149007,11.637675011005571,10.890056476438872,1.7626304328565254,-32.765079488951585,-58.85058388513397
1113433914.9,0.4651224751385966,-0.6196070291086576,-1.2187047752470703,8.923404756264505,11.580026259578297,10.73801902746746,2.6524432942442218,-31.604194425422378,-57.769180109938645
1113433915.0,0.4538699389696732,-0.7058019671511216,-0.8347775110659382,8.970824954297711,11.51754879206855,10.6181729186174,3.5471547797723417,-30.449315672840044,-56.701370512634405
1113433915.1,0.4723343447990549,-0.8425425708330853,-0.4751657854675616,9.018572602080146,11.4445625320999,10.541721513143804,4.446624657591258,-29.3012101066316,-55.643375791046346
1113433915.2,0.4864324464484627,-0.8554740902437576,-0.2157139464074122,9.06795446402798,11.36054338862724,10.498556226889852,5.350951010896637,-28.160954810595285,-54.59136190404466
1113433915.3,0.4666058442888548,-0.8759599666687586,-0.1203602190425997,9.117041276101386,11.270876155797998,10.474511447215352,6.260200797903138,-27.029383833374,-53.54270852033942
1113433915.4,0.4193825162866967,-0.8360421763873807,-0.0556064571014498,9.162674641074744,11.182215259847212,10.46192172627601,7.1741865937619025,-25.906729262591753,-52.49588686166486
1113433915.5,0.3357932561136706,-0.7480606882025461,-0.0094327860099987,9.203048117262451,11.100177991481392,10.457268425214568,8.092472731678782,-24.792609600025315,-51.44992735409032
1113433915.6,0.2825206207042736,-0.5868292035545111,0.0448465670301657,9.237615699770618,11.028989696476994,10.458444886033709,9.014505922530432,-23.686151215627405,-50.4041416885279
1113433915.7,0.2285622184904089,-0.4619100081547382,0.099943311570593,9.26618840187992,10.971001224249056,10.464422048324796,9.939696127612919,-22.586151669591132,-49.35799834180999
1113433915.8,0.1763825143971369,-0.3587700671415999,0.1560284465612545,9.288827325232852,10.925622942190946,10.474988979902298,10.867446913968578,-21.49132046126911,-48.31102779039864
1113433915.9,-0.5162675870937168,-0.2966709262971101,0.2119818253207834,9.305373978233003,10.889381308979647,10.490181044023654,11.79715697914186,-20.400570248710565,-47.26276928920234
1113433916.0,-0.2195486599874977,-0.2624701986193125,0.2199668346528352,9.314902956401095,10.8585716759622,10.509724901081986,12.728170825873562,-19.313172599463485,-46.212773991947046
1113433916.1,0.1246568932174463,-0.2378895064219554,0.2493970792808731,9.316131825126774,10.831109473017577,10.532754729939183,13.659722564949973,-18.22868854201448,-45.16065001039598
1113433916.2,0.4765685464718229,-0.2158351380667556,0.2629227469450275,9.308345826772394,10.80620683169297,10.55789223533292,14.590946447544908,-17.146822726778964,-44.10611766213239
1113433916.3,-0.227585988690099,-0.1714049731796149,0.2636263180596342,9.291914897493808,10.784953188731317,10.583727913134284,15.520959483758205,-16.067264725757738,-43.04903665470903
1113433916.4,-0.3112080906930318,-0.3965371447731506,0.248355098325958,9.26762679891704,10.769811694333434,10.609316198975824,16.44893656857876,-14.989526481604514,-41.989384449103525
1113433916.5,-0.3971443389212674,-0.2016708181503162,0.2404357219556444,9.235695242324466,10.761161578750864,10.634219095318969,17.374102670640852,-13.912977817950278,-40.927207684388776
1113433916.6,-0.4773271386445057,-0.1620292238981304,0.2316295719744495,9.196275266748628,10.755902458852612,10.658269860174093,18.295701196094498,-12.8371246160701,-39.862583236614114
1113433916.7,-0.4717839552198402,-0.2509395984434465,0.2224770747619145,9.150588341798915,10.677979291242371,10.681405668546873,19.213044376521864,-11.765430528565375,-38.79559946017808
1113433916.8,-0.5015374098003873,-0.1274212958468452,0.212320150171815,9.10072471736444,10.668694015806931,10.70360594567762,20.125610029480058,-10.698096863212925,-37.72634887946684
1113433916.9,-0.5046558015544804,-0.1784579431720453,0.2036613638193795,9.049177055715733,10.655056664955383,10.72489387763562,21.03310511813403,-9.631909329174803,-36.654923888301184
1113433917.0,-0.4646677341878522,-0.234586150733313,0.1956148458074675,8.999518241598615,10.636641465402075,10.745326912511215,21.935539882999777,-8.567324422656924,-35.58141284879383
1113433917.1,-0.5417037950854298,-0.2883949316952922,0.1867471910370043,8.956323851722662,10.61332482406128,10.76489436142396,22.83333198766583,-7.504826108183735,-34.505901785097095
1113433917.2,-0.3932498917612517,-0.317890464618562,0.1852934741935702,8.922858914875542,10.58580798366218,10.783440300761187,23.727291125995734,-6.444869467797574,-33.428485051987835
1113433917.3,-0.2853186562711105,-0.3588510955415637,0.1722194184419431,8.846680718230825,10.55460112617017,10.800784274549612,24.61576810765105,-5.387849012305992,-32.349273823222276
1113433917.4,-0.2538701377168375,-0.4276881843351454,0.1677108105680489,8.82749399274848,10.518331121985453,10.81727526299588,25.499476843199986,-4.334202399898203,-31.268370846344993
1113433917.5,-0.2002735033102391,-0.5183101167796276,0.18694397161159,8.808909603639199,10.474707919409289,10.834480581664865,26.3812970230194,-3.284550447828437,-30.185783054111965
1113433917.6,-0.2170703188082114,-0.5401947736342639,0.2254659784625042,8.789007473296394,10.423533997534694,10.854657068242702,27.26119287686619,-2.2396383519812417,-29.10132617161659
1113433917.7,-0.2504559337880835,-0.5652351462619304,0.265546286514787,8.766712262669762,10.36772402594873,10.87884617327302,28.138978863664462,-1.200075450807077,-28.0146510095408
1113433917.8,-0.294766179678137,-0.5578194852834198,0.2850844735581241,8.7407119219605,10.311024233453594,10.905972308887865,29.014350072895965,-0.16613803783695857,-26.92541008543276
1113433917.9,-0.2740818702407615,-0.5347393997350958,0.2814841309081478,8.712653010080732,10.25586408333336,10.933883602470214,29.88701831949807,0.8622063780023836,-25.833417289864855
1113433918.0,-0.2171196918661165,-0.4628631400944469,0.2123938561174584,8.687558644416658,10.20373511704322,10.96041515518706,30.757028902222928,1.8851863380212421,-24.738702351982
1113433918.1,-0.1731147985135802,-0.4206275842906176,0.1827830115739404,8.667622455789083,10.155765299966198,10.983978702401767,31.62478795723321,2.903161358871685,-23.641482659102564
1113433918.2,-0.1928008404849841,-0.3778587858379742,0.1490036913600658,8.648928661722454,10.112410860517812,11.003762430344834,32.49061551310878,3.916570166895866,-22.54209560246524
1113433918.3,-0.2336650982383386,-0.3176143454957209,0.0963711951004327,8.626941289970187,10.074649605112125,11.018393607407887,33.35440901069343,4.9259231901773575,-21.440987800577602
1113433918.4,-0.2514762339876006,-0.0215370118682339,0.0087669242483792,8.601740864859892,10.045838731471344,11.024470330602249,34.21584311843493,5.931947607006521,-20.338844603677074
1113433918.5,-0.2395977870149867,-0.008015301459421,-0.182849478033287,8.576232269183027,10.029968617829605,11.017911331499253,35.07474177513707,6.935737974471607,-19.236725520571994
1113433918.6,-0.2099511432022489,0.0029516578242935,-0.3840199320012767,8.552880673685333,10.027249351860815,10.996553097310406,35.931197422280505,7.9385988729561205,-18.136002299131533
1113433918.7,0.0058677170706008,0.0085921770037907,-0.5689236348388945,8.53347226372587,10.033448594828773,10.960648545911011,36.78551506915106,8.941633770290608,-17.038142216970485
