t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6
0.0,267,61.7968,6.2314,0.3283,277,52.1023,5.6916,-0.0197,282,39.6509,6.7464,0.4316,293,25.8081,6.0755,-0.6835,299,11.9072,8.2339,0.0696,311,0.0,7.6567,-0.2976
0.1,267,62.4215,6.2628,0.3336,277,52.6714,5.6904,0.0053,282,40.3277,6.7895,0.4292,293,26.4122,6.0063,-0.704,299,12.731,8.2417,0.0656,311,0.7642,7.6267,-0.1938
0.2,267,63.0495,6.2966,0.3487,277,53.2406,5.694,0.0716,282,41.0088,6.8321,0.4194,293,27.0093,5.9344,-0.7382,299,13.5556,8.2493,0.0641,311,1.5259,7.6086,-0.1026
0.3,267,63.6809,6.3313,0.3539,277,53.8105,5.7031,0.136,282,41.6941,6.8738,0.4058,293,27.599,5.8605,-0.7444,299,14.3808,8.256,0.0496,311,2.2864,7.6003,-0.0578
0.4,267,64.3157,6.3666,0.3582,277,54.3815,5.7177,0.1951,282,42.3835,6.9147,0.4003,293,28.1815,5.7885,-0.6557,299,15.2066,8.2587,-0.003,311,3.0464,7.5992,0.0262
0.5,267,64.9542,6.4022,0.353,277,54.9542,5.7366,0.2359,282,43.077,6.955,0.3932,293,28.757,5.7228,-0.5781,299,16.0321,8.2526,-0.1594,311,3.8064,7.6027,0.074
0.6,267,65.5962,6.4382,0.3528,277,55.5289,5.7578,0.1996,282,43.7744,6.9942,0.3797,293,29.3265,5.6657,-0.4964,299,16.8564,8.2329,-0.3622,311,4.567,7.6081,0.0792
0.7,267,66.2418,6.4736,0.3433,277,56.1057,5.7784,0.1811,282,44.4757,7.0317,0.3491,293,29.8905,5.6161,-0.4345,299,17.678,8.1982,-0.5572,311,5.328,7.6124,0.0531
0.8,267,66.8909,6.5076,0.3254,277,56.6845,5.7962,0.1468,282,45.1807,7.0668,0.3236,293,30.45,5.572,-0.4006,299,18.4954,8.1506,-0.553,311,6.0893,7.6136,-0.0152
0.9,267,67.5432,6.5397,0.3052,277,57.2648,5.8103,0.1141,282,45.889,7.099,0.2938,293,31.0051,5.5317,-0.3704,299,19.3076,8.0943,-0.6188,311,6.8505,7.6105,-0.0899
1.0,267,68.1987,6.5699,0.2888,277,57.8464,5.822,0.1351,282,46.6003,7.1282,0.2642,293,31.5564,5.4945,-0.341,299,20.114,8.0331,-0.6564,311,7.6112,7.6029,-0.1682
1.1,267,68.8571,6.5988,0.277,277,58.4296,5.8416,0.1569,282,47.3145,7.1547,0.2413,293,32.1042,5.4605,-0.3087,299,20.9141,7.9679,-0.7004,311,8.3708,7.5904,-0.1585
1.2,267,69.5184,6.6266,0.2687,277,59.0145,5.8564,0.2058,282,48.0312,7.1799,0.2347,293,32.6487,5.43,-0.2714,299,21.7073,7.8977,-0.7377,311,9.129,7.5733,-0.2062
1.3,267,70.1824,6.6537,0.2578,277,59.6011,5.8752,0.2569,282,48.7504,7.2044,0.2283,293,33.1904,5.4031,-0.2365,299,22.4933,7.8214,-0.7994,311,9.8853,7.5525,-0.2358
