t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6
0.0,510,74.8709,6.6064,0.1482,515,61.304,6.6802,0.3093,521,45.4435,6.9644,0.8088,533,24.036,5.9121,-0.1272,542,11.236,5.9532,0.0994,561,0.0,6.2789,-0.2435
0.1,510,75.5323,6.6216,0.1974,515,61.9736,6.7115,0.3415,521,46.144,7.0453,0.7816,533,24.6266,5.9005,-0.0601,542,11.8318,5.9632,0.1208,561,0.6267,6.2555,-0.2442
0.2,510,76.1955,6.6416,0.2621,515,62.6465,6.7457,0.3714,521,46.8524,7.1234,0.7519,533,25.2165,5.897,0.0064,542,12.4288,5.9752,0.1434,561,1.2511,6.2317,-0.2519
0.3,510,76.861,6.6684,0.3539,515,63.3229,6.7828,0.399,521,47.5685,7.1983,0.7127,533,25.8064,5.9007,0.079,542,13.027,5.9892,0.1408,561,1.873,6.2059,-0.2839
0.4,510,77.5296,6.7041,0.4669,515,64.0031,6.8223,0.4167,521,48.2919,7.2699,0.6791,533,26.3969,5.9091,0.1185,542,13.6267,6.0047,0.1495,561,2.4921,6.1766,-0.2832
0.5,510,78.2023,6.7497,0.5388,515,64.6875,6.8642,0.4396,521,49.0223,7.3379,0.6434,533,26.9883,5.9196,0.1297,542,14.2279,6.0201,0.1395,561,3.1081,6.1446,-0.2952
0.6,510,78.88,6.8044,0.6299,515,65.3761,6.9083,0.4614,521,49.7593,7.4022,0.6056,533,27.5808,5.9304,0.1071,542,14.8306,6.0335,0.112,561,3.7211,6.1143,-0.2542
0.7,510,79.5636,6.8673,0.7129,515,66.0692,6.9545,0.4814,521,50.5026,7.4624,0.558,533,28.1743,5.9401,0.0914,542,15.4345,6.0434,-0.0502,561,4.3313,6.0907,-0.1721
0.8,510,80.2538,6.9382,0.8034,515,66.7671,7.0022,0.4823,521,51.2516,7.5183,0.5159,533,28.7688,5.9483,0.0766,542,16.0391,6.0489,-0.0198,561,4.9397,6.0761,-0.0691
0.9,510,80.9517,7.0182,0.8497,515,67.4697,7.0508,0.4844,521,52.006,7.5699,0.4745,533,29.364,5.9561,0.0831,542,16.644,6.0497,0.0095,561,5.5469,6.0688,-0.0301
1.0,510,81.6579,7.1072,0.9363,515,68.1772,7.0991,0.4791,521,52.7654,7.6174,0.4363,533,29.9601,5.9662,0.1305,542,17.2488,6.0465,0.0319,561,6.1537,6.0656,-0.0131
1.1,510,82.3734,7.2025,0.9771,515,68.8895,7.1469,0.4727,521,53.5293,7.6609,0.3665,533,30.5575,5.9812,0.1948,542,17.8532,6.0406,-0.0567,561,6.7601,6.0642,-0.0064
1.2,510,83.0985,7.2984,0.948,515,69.6066,7.1941,0.4709,521,54.2973,7.7,0.3232,533,31.1566,6.0018,0.2494,542,18.4569,6.0338,-0.0557,561,7.3666,6.0643,0.0112
1.3,510,83.8329,7.3893,0.8632,515,70.3283,7.2408,0.467,521,55.069,7.733,0.2598,533,31.758,6.0259,0.2738,542,19.06,6.028,-0.0415,561,7.9731,6.067,0.0458
1.4,510,84.576,7.4732,0.7969,515,71.0547,7.2873,0.4664,521,55.8435,7.7578,0.1777,533,32.3619,6.0511,0.26,542,19.6626,6.0243,-0.0205,561,8.5801,6.0726,0.07
1.5,510,85.3272,7.5522,0.7684,515,71.7858,7.3341,0.4728,521,56.6201,7.7736,0.123,533,32.9682,6.0754,0.247,542,20.265,6.0231,0.0019,561,9.1877,6.079,0.0612
1.6,510,86.0864,7.6304,0.7783,515,72.5216,7.3818,0.487,521,57.3979,7.7832,0.0822,533,33.5769,6.0992,0.2477,542,20.8673,6.0244,0.0294,561,9.7958,6.0831,0.039
1.7,510,86.8534,7.71,0.7909,515,73.2622,7.4305,0.4971,521,58.1767,7.7922,0.1102,533,34.1881,6.1246,0.2804,542,21.4699,6.0275,0.0475,561,10.4041,6.0835,-0.0259
1.8,510,87.6284,7.7904,0.7885,515,74.0077,7.4802,0.5045,521,58.9566,7.8053,0.1685,533,34.8021,6.1546,0.3519,542,22.0729,6.0316,0.0563,561,11.0123,6.0806,-0.0721
1.9,510,88.4114,7.8693,0.7589,515,74.7583,7.5305,0.512,521,59.7379,7.822,0.1511,533,35.4194,6.1914,0.4311,542,22.6763,6.0366,0.0624,561,11.6201,6.0747,-0.1299
2.0,510,89.2021,7.9444,0.7159,515,75.5139,7.5819,0.5442,521,60.5209,7.8375,0.114,533,36.0407,6.2353,0.504,542,23.2803,6.0435,0.0933,561,12.227,6.0642,-0.1391
2.1,510,90.0001,8.0154,0.6808,515,76.2747,7.6351,0.5716,521,61.3052,7.8475,0.0567,533,36.6667,6.2853,0.5582,542,23.8852,6.054,0.1443,561,12.8326,6.0476,-0.2072
2.2,510,90.805,8.0833,0.6573,515,77.0411,7.6921,0.6229,521,62.0902,7.8526,0.0298,533,37.2979,6.3391,0.5449,542,24.4913,6.0686,0.188,561,13.4363,6.0258,-0.2495
2.3,510,91.6166,8.1492,0.6427,515,77.8135,7.755,0.6949,521,62.8756,7.8571,0.0616,533,37.9346,6.3944,0.5471,542,25.099,6.0854,0.1589,561,14.0377,6.0019,-0.2484
2.4,510,92.4348,8.2136,0.6264,515,78.5925,7.8252,0.756,521,63.6618,7.865,0.1085,533,38.5768,6.449,0.5293,542,25.7083,6.1013,0.1343,561,14.6368,5.9798,-0.1628
2.5,510,93.2593,8.2761,0.5952,515,79.3789,7.903,0.8321,521,64.4488,7.8765,0.1384,533,39.2243,6.5014,0.5043,542,26.3191,6.1139,0.1007,561,15.2338,5.9617,-0.1241
2.6,510,94.0899,8.3364,0.5726,515,80.1734,7.9872,0.8868,521,65.2371,7.8895,0.1427,533,39.877,6.5517,0.4988,542,26.931,6.1237,0.0806,561,15.8294,5.9489,-0.0789
2.7,510,94.9264,8.3941,0.5457,515,80.9765,8.075,0.9059,521,66.0267,7.9023,0.115,533,40.5346,6.6012,0.5004,542,27.5438,6.1329,0.1112,561,16.4239,5.9419,-0.033
2.8,510,95.7685,8.4484,0.5074,515,81.7884,8.1633,0.8784,521,66.8175,7.9141,0.1064,533,41.1972,6.6516,0.515,542,28.1577,6.1446,0.1589,561,17.018,5.9399,0.0026
2.9,510,96.6159,8.4982,0.4186,515,82.6091,8.2506,0.8647,521,67.6095,7.9252,0.102,533,41.865,6.7033,0.5287,542,28.773,6.1613,0.2237,561,17.612,5.941,0.0226
3.0,510,97.4679,8.543,0.3754,515,83.4385,8.3369,0.8601,521,68.4025,7.9356,0.0917,533,42.538,6.756,0.5201,542,29.3902,6.1835,0.2869,561,18.2062,5.9428,0.0165
3.1,510,98.3243,8.5836,0.3424,515,84.2765,8.4233,0.8644,521,69.1965,7.9438,0.0274,533,43.2162,6.8084,0.5135,542,30.0099,6.211,0.32,561,18.8005,5.9437,0.0053
3.2,510,99.1845,8.6204,0.3107,515,85.1232,8.5101,0.8705,521,69.9911,7.9478,0.0063,533,43.8996,6.8599,0.5016,542,30.6327,6.2433,0.3703,561,19.395,5.9446,0.0157
3.3,510,100.0476,8.6429,0.272,515,85.9785,8.5971,0.8727,521,70.7858,7.9473,-0.0101,533,44.5881,6.9099,0.4854,542,31.2588,6.2803,0.4218,561,19.9896,5.9475,0.0588
3.4,510,100.9133,8.67,0.2164,515,86.8426,8.6846,0.8776,521,71.5805,7.9451,-0.0088,533,45.2815,6.958,0.4564,542,31.889,6.3224,0.478,561,20.5847,5.9545,0.1215
3.5,510,101.7813,8.6912,0.1667,515,87.7155,8.7726,0.8845,521,72.375,7.9452,0.0286,533,45.9795,7.0034,0.4267,542,32.5236,6.37,0.5249,561,21.1807,5.9663,0.1814
3.6,510,102.6513,8.7079,0.1353,515,88.5971,8.8606,0.8158,521,73.1698,7.9506,0.0962,533,46.682,7.0457,0.3967,542,33.1633,6.4233,0.5852,561,21.7781,5.9823,0.1934
3.7,510,103.5228,8.722,0.1413,515,89.4874,8.9455,0.7671,521,73.9653,7.9609,0.1458,533,47.3885,7.0853,0.375,542,33.8085,6.4822,0.6406,561,22.3774,6.0019,0.2296
3.8,510,104.3956,8.7345,0.1294,515,90.3858,9.0225,0.6692,521,74.7621,7.9743,0.1701,533,48.099,7.1235,0.3881,542,34.4599,6.5461,0.688,561,22.9787,6.025,0.2687
3.9,510,105.2697,8.7466,0.1304,515,91.2913,9.0877,0.5457,521,75.5603,7.9893,0.1722,533,48.8132,7.1617,0.3974,542,35.1179,6.6139,0.6915,561,23.5825,6.0518,0.3117
4.0,510,106.145,8.7602,0.1617,515,92.2027,9.1404,0.4249,521,76.36,8.0058,0.192,533,49.5314,7.2015,0.4197,542,35.7828,6.684,0.7045,561,24.1893,6.0827,0.3425
4.1,510,107.0219,8.7782,0.2298,515,93.1189,9.1833,0.3545,521,77.1616,8.0249,0.2294,533,50.2537,7.2438,0.4481,542,36.4547,6.7541,0.6909,561,24.7993,6.1174,0.383
4.2,510,107.901,8.8032,0.3142,515,94.0391,9.2197,0.3047,521,77.9652,8.0481,0.2852,533,50.9803,7.2888,0.4729,542,37.1336,6.8224,0.6674,561,25.4129,6.1561,0.4229
4.3,510,108.7829,8.8358,0.3966,515,94.9626,9.2501,0.2478,521,78.7715,8.0772,0.3255,533,51.7116,7.3366,0.5004,542,37.8192,6.8893,0.6689,561,26.0307,6.1983,0.4584
4.4,510,109.6685,8.8748,0.4551,515,95.8887,9.2735,0.1473,521,79.581,8.1131,0.3964,533,52.4478,7.387,0.5247,542,38.5115,6.9572,0.6921,561,26.6527,6.2434,0.4621
4.5,510,110.5581,8.9178,0.4365,515,96.8169,9.2892,0.0891,521,80.3944,8.1547,0.4413,533,53.1891,7.4393,0.5414,542,39.2107,7.0272,0.7136,561,27.2794,6.2898,0.468
4.6,510,111.4521,8.9623,0.4418,515,97.7462,9.298,0.043,521,81.212,8.1976,0.4232,533,53.9357,7.4928,0.5286,542,39.917,7.098,0.7063,561,27.9107,6.3363,0.4632
4.7,510,112.3506,9.0067,0.434,515,98.6762,9.3017,0.0128,521,82.0337,8.2359,0.3518,533,54.6876,7.546,0.5207,542,40.6302,7.1674,0.6991,561,28.5466,6.3824,0.4606
4.8,510,113.2534,9.0497,0.4147,515,99.6064,9.3028,0.0017,521,82.8588,8.2664,0.273,533,55.4448,7.598,0.5052,542,41.3504,7.2359,0.7047,561,29.1872,6.4288,0.4696
