t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6
0.0,55,76.8027,6.899,0.0439,54,68.0523,6.6439,0.0847,59,56.6138,6.0499,-0.4492,79,28.5404,5.632,0.3517,87,12.8577,5.2226,0.2512,93,0.0,4.553,0.3476
0.1,55,77.4928,6.9034,0.033,54,68.7167,6.6433,-0.1002,59,57.2166,6.0069,-0.4487,79,29.1054,5.6686,0.4687,87,13.3814,5.2513,0.2027,93,0.457,4.5873,0.2893
0.2,55,78.1833,6.9057,0.0122,54,69.3804,6.6303,-0.2485,59,57.8141,5.9434,-0.3581,79,29.6745,5.7143,0.4771,87,13.9076,5.2722,0.1299,93,0.9172,4.6158,0.2347
0.3,55,78.8738,6.9049,-0.0344,54,70.0424,6.6096,-0.3067,59,58.4071,5.9154,-0.311,79,30.2484,5.7631,0.4655,87,14.4354,5.2834,0.0472,93,1.3796,4.6326,0.196
0.4,55,79.5641,6.9009,-0.07,54,70.7022,6.5869,-0.2328,59,58.9973,5.8899,-0.2969,79,30.827,5.8083,0.409,87,14.9638,5.2857,-0.0296,93,1.8439,4.6543,0.2036
0.5,55,80.2539,6.8949,-0.0864,54,71.3598,6.5641,-0.2364,59,59.5851,5.8654,-0.2024,79,31.4098,5.8487,0.3712,87,15.4923,5.284,-0.0497,93,2.3106,4.6797,0.3232
0.6,55,80.943,6.8879,-0.0826,54,72.015,6.54,-0.2597,59,60.1705,5.8425,-0.1802,79,31.9966,5.8866,0.362,87,16.0207,5.2837,0.0366,93,2.7803,4.7139,0.444
0.7,55,81.6314,6.88,-0.0955,54,72.6676,6.5137,-0.2817,59,60.7538,5.8238,-0.1335,79,32.5871,5.9239,0.3608,87,16.5493,5.2876,0.1406,93,3.254,4.76,0.593
0.8,55,82.3189,6.8704,-0.1202,54,73.3176,6.4858,-0.2855,59,61.3356,5.8116,-0.0716,79,33.1813,5.9606,0.3517,87,17.0784,5.2955,0.097,93,3.733,4.8192,0.7365
0.9,55,83.0054,6.8581,-0.157,54,73.9648,6.458,-0.2721,59,61.9165,5.8066,-0.0172,79,33.7791,5.9954,0.3223,87,17.6085,5.3059,0.1139,93,4.2184,4.8894,0.7533
