t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6
0.0,611,85.9802,7.9002,0.559,621,65.8308,6.51,0.3447,636,46.4471,6.2015,-0.3748,649,32.2664,6.92,-0.2458,655,14.2327,6.5198,-1.1746,660,0.0,6.0556,0.6396
0.1,611,86.773,7.9556,0.5278,621,66.4835,6.5448,0.3656,636,47.0654,6.1642,-0.4346,649,32.9572,6.8967,-0.2722,655,14.879,6.4073,-0.7727,660,0.6087,6.1189,0.5226
0.2,611,87.5712,8.008,0.4995,621,67.1398,6.5816,0.3868,636,47.6797,6.122,-0.4334,649,33.6455,6.8685,-0.3215,655,15.5162,6.3357,-0.4687,660,1.2231,6.1694,0.3096
0.3,611,88.3745,8.0578,0.4775,621,67.7999,6.6202,0.4023,636,48.2896,6.0765,-0.4555,649,34.3307,6.8361,-0.3637,655,16.1474,6.2877,-0.4152,660,1.8419,6.2066,0.2151
0.4,611,89.1826,8.1057,0.4634,621,68.4639,6.66,0.4123,636,48.895,6.0304,-0.4465,649,35.0125,6.8001,-0.3961,655,16.7741,6.2478,-0.3748,660,2.4638,6.2303,0.1184
0.5,611,89.9956,8.1525,0.4501,621,69.1319,6.7007,0.4216,636,49.4958,5.9868,-0.4064,649,35.6906,6.7613,-0.4077,655,17.3971,6.2115,-0.3445,660,3.0873,6.2401,0.0195
0.6,611,90.8131,8.1982,0.4387,621,69.8041,6.7425,0.4361,636,50.0926,5.9478,-0.3395,649,36.3647,6.7202,-0.4321,655,18.0165,6.1765,-0.3492,660,3.7111,6.2357,-0.1412
0.7,611,91.6351,8.2423,0.4184,621,70.4805,6.7862,0.4586,636,50.6856,5.9133,-0.3022,649,37.0345,6.6766,-0.4574,655,18.6323,6.1393,-0.3889,660,4.3337,6.2168,-0.3195
0.8,611,92.4614,8.2838,0.389,621,71.1615,6.8328,0.5208,636,51.2754,5.8823,-0.2743,649,37.6999,6.6309,-0.4758,655,19.2442,6.0982,-0.4264,660,4.9537,6.1833,-0.5014
0.9,611,93.2917,8.3221,0.3425,621,71.8474,6.8846,0.5905,636,51.8622,5.8548,-0.239,649,38.3606,6.584,-0.473,655,19.8518,6.055,-0.429,660,5.5696,6.1347,-0.6872
