Car Index,RMSE Headway Error,Dampening Ratio,Average Velocity,Sum Accelerations2
1,0.1517819600107712,0.8843525724214493,5.004826254192057,160.84006598940385
2,0.1551117999303869,0.8008035284966495,5.156167470049437,131.88497211601594
3,0.14850841740610393,0.7361271680419613,5.314121764864006,111.44203874304065
4,0.2966647651323576,0.7131621609890734,5.467432991795877,104.59717143611199
5,0.13400433385350732,0.6692756186811605,5.612148209148905,92.11988012064018
6,0.2522204190443702,0.6561663729571595,5.7487994277575405,88.54647886818589
7,0.12906094849373673,0.6236949323458011,5.873684537692959,79.99959463552267
8,0.13087176773960274,0.5968137102603088,5.9937494017092,73.25224486618434
9,0.1274210280336086,0.572890650415538,6.1209494002364755,67.49736593722307
10,0.1581702215533669,0.5665038081918335,6.260956336795338,66.00077315472129
11,0.11930689485496385,0.5404566512417118,6.4242990341356325,60.07103125030598
12,0.13725329361717822,0.5311723124401739,6.59500639079913,58.02487507331913
13,0.11605385113179813,0.4982091859646126,6.8134351315114055,51.04659958192555
14,0.11710179218329342,0.4650320032589901,7.061626954820525,44.47429161731524
15,0.11442289997422223,0.43342738457396657,7.341357907508746,38.634567082856435
16,0.12466354001797339,0.41925577704774875,7.604042560527751,36.1494310930057
17,0.12031871744651287,0.4048460608365642,7.894745217489904,33.70723986937824
18,0.10555171527586774,0.3873033399124618,8.243009059411868,30.84933736997931
19,0.12843877539875326,0.3831940161422863,8.548690473184893,30.198181636627865
20,0.12463741825279086,0.37964113861474025,8.865792346140209,29.6407979011786
21,0.10021040305096482,0.3672423583690957,9.202924532399221,27.73632331423754
22,0.09966425731773959,0.3494416226969047,9.505493938242486,25.112654552467585
23,0.09899356610963324,0.32564107987208496,9.775225732585815,21.808295754545114
24,0.09860954535906036,0.2962744901285328,10.007530606967677,18.05227224792062
25,0.09839651399257869,0.2628725232678282,10.200639358565143,14.211297905857538
26,0.09839587847931483,0.22730253975502376,10.355458638741908,10.625562553872347
27,0.09837144986716961,0.19152057141924927,10.47513253165947,7.543522905233391
28,0.09844625299655878,0.15722561538253194,10.56408995510724,5.083817622229403
29,0.113605838980249,0.12959236831925516,10.631174976709868,3.4538399546534992
30,0.09850351153413243,0.09855093736426267,10.6790039790013,1.9973992136269363
